"from,to,cost"
"0,1,0.055"
"0,2,0.041"
"0,3,0.500"
"0,4,0.450"
"0,5,0.500"
"0,6,0.500"
"0,7,0.950"
"0,8,2.300"
"0,9,1.000"
"0,10,0.900"
"0,11,1.000"
"0,12, 1.600"
"0,13, 2.700"
"0,14, 5.100"
"0,15, 2.200"
"1,0, 0.055"
"1,2, 0.040"
"1,3, 0.450"
"1,4, 0.400"
"1,5, 0.450"
"1,6, 0.450"
"1,7, 0.500"
"1,8, 1.000"
"1,9, 2.300"
"1,10, 1.600"
"1,11, 2.700"
"1,12, 2.200"
"1,13, 1.900"
"1,14,5.100"
"1,15, 2.200"
"2,0,0.041"
"2,1,0.040"
"2,3,0.500"
"2,4,0.400"
"2,5,0.500"
"2,6,0.450"
"2,7,0.900"
"2,8,2.300"
"2,9,1.000"
"2,10,1.600"
"2,11,2.700"
"2,12,2.200"
"2,13,1.800"
"2,14,5.100"
"2,15,2.200"
"3,0,0.500"
"3,1,0.450"
"3,2,0.500"
"3,4,0.060"
"3,5,0.087"
"3,6,1.028"
"3,7,0.500"
"3,8,0.500"
"3,9,0.500"
"3,10,1.100"
"3,11,2.200"
"3,12,1.700"
"3,13,1.400"
"3,14,4.500"
"3,15,1.700"
"4,0,0.450"
"4,1,0.400"
"4,2,0.400"
"4,3,0.060"
"4,5,0.085"
"4,6,0.052"
"4,7,0.500"
"4,8,0.550"
"4,9,1.550"
"4,10,1.200"
"4,11,2.200"
"4,12,1.700"
"4,13,1.400"
"4,14,2.500"
"4,15,1.700"
"5,0,0.500"
"5,1, 0.450"
"5,2,0.500"
"5,3,0.087"
"5,4,0.085"
"5,6,0.059"
"5,7,0.450"
"5,8,0.450"
"5,9,1,0.450"
"5,10,1.200"
"5,11,2.300"
"5,12,1.800"
"5,13,1.400"
"5,14,4.600"
"5,15,1.800"
"6,0,0.500"
"6,1,0.450"
"6,2,0.450"
"6,3,1.028"
"6,4,0.052"
"6,5,0.059"
"6,7,0.450"
"6,8,0.500"
"6,9,0.500"
"6,10,1.100"
"6,11,2.200"
"6,12,1.700"
"6,13,1.400"
"6,14,2.000"
"6,15,1.700"
"7,0,0.950"
"7,1,0.500"
"7,2,0.900"
"7,3,0.500"
"7,4,0.500"
"7,5,0.450"
"7,6,0.450"
"7,8,0.048"
"7,9,0.044"
"7,10,0.650"
"7,11,0.700"
"7,12,0.750"
"7,13,0.900"
"7,14,4.200"
"7,15,1.200"
"8,0,2.300"
"8,1,1.000"
"8,2,1.000"
"8,3,2.300"
"8,4,0.550"
"8,5,0.450"
"8,6,0.500"
"8,7,0.048"
"8,9,0.036"
"8,10,0.650"
"8,11,0.650"
"8,12,0.650"
"8,13,0.650"
"8,14,1.900"
"8,15,2.000"
"9,0,1.000"
"9,1,2.300"
"9,2,1.000"
"9,3,0.500"
"9,4,1.550"
"9,5,0.450"
"9,6,0.500"
"9,7,0.04"
"9,8,0.036"
"9,10,0.650"
"9,11,0.700"
"9,12,0.700"
"9,13,0.900"
"9,14,4.000"
"9,15,1.200"
"10,0,0.900"
"10,1,01.600"
"10,2,1.600"
"10,3,1.100"
"10,4,1.200"
"10,5,1.200"
"10,6,1.100"
"10,7,0.650"
"10,8,0.650"
"10,9,0.650"
"10,11,0.052"
"10,12,0.068"
"10,13,0.250"
"10,14,0.350"
"10,15,0.300"
"11,0,1.000"
"11,1,2.700"
"11,2,2.700"
"11,3,2.200"
"11,4,2.200"
"11,5,2.300"
"11,6,2.200"
"11,7,0.700"
"11,8,0.650"
"11,9,0.700"
"11,10,0.052"
"11,12,0.044"
"11,13,0.280"
"11,14,0.300"
"11,15,3.100"
"12,0,1.600"
"12,1,2.200"
"12,2,2.200"
"12,3,1.700"
"12,4,1.700"
"12,5,1.800"
"12,6,1.700"
"12,7,0.750"
"12,8,0.650"
"12,9,0.700"
"12,10,0.068"
"12,11,0.044"
"12,13,3.000"
"12,14,0.260"
"12,15,0.300"
"13,0,2.700"
"13,1,1.900"
"13,2,1.800"
"13,3,1.400"
"13,4,1.400"
"13,5,1.400"
"13,6,1.400"
"13,7,0.900"
"13,8,0.650"
"13,9,0.900"
"13,10,0.250"
"13,11,0.280"
"13,12,3.000"
"13,14,0.500"
"13,15,0.068"
"14,0,5.100"
"14,1,5.100"
"14,2,5.100"
"14,3,4.500"
"14,4,2.500"
"14,5,4.600"
"14,6,2.000"
"14,7,4.200"
"14,8,1.900"
"14,9,4.000"
"14,10,0.350"
"14,11,0.300"
"14,12,0.260"
"14,13,0.500"
"14,15,0.600"
"15,0,2.200"
"15,1,2.200"
"15,2,2.200"
"15,3,1.700"
"15,4,1.700"
"15,5,4.600"
"15,6,1.700"
"15,7,1.200"
"15,8,2.000"
"15,9,1.200"
"15,10,0.300"
"15,11,3.100"
"15,12,0.300"
"15,13,0.068"
"15,14,0.600"
